Date,Stocks,%Universe <= 32
2023-01-10,3,1.35
2023-01-09,2,0.90
2023-01-06,1,0.45
2023-01-05,7,3.15
2023-01-04,2,0.90
2023-01-03,5,2.25
2022-12-30,4,1.80
2022-12-29,4,1.80
2022-12-28,18,8.11
2022-12-27,9,4.05
2022-12-23,7,3.15
2022-12-22,11,4.95
2022-12-21,10,4.50
2022-12-20,12,5.41
2022-12-19,14,6.31
2022-12-16,11,4.95
2022-12-15,8,3.60
2022-12-14,1,0.45
2022-12-13,1,0.45
2022-12-12,1,0.45
2022-12-09,4,1.80
2022-12-08,4,1.80
2022-12-07,3,1.35
2022-12-06,3,1.35
2022-12-02,1,0.45
2022-12-01,1,0.45
2022-11-25,1,0.45
2022-11-23,1,0.45
2022-11-22,2,0.90
2022-11-21,1,0.45
2022-11-17,1,0.45
2022-11-15,1,0.45
2022-11-14,2,0.90
2022-11-11,1,0.45
2022-11-10,1,0.45
2022-11-09,11,4.95
2022-11-08,7,3.15
2022-11-07,4,1.80
2022-11-04,8,3.60
2022-11-03,8,3.60
2022-11-02,4,1.80
2022-11-01,3,1.35
2022-10-31,1,0.45
2022-10-28,1,0.45
2022-10-27,2,0.90
2022-10-26,1,0.45
2022-10-24,4,1.80
2022-10-21,6,2.70
2022-10-20,7,3.15
2022-10-19,5,2.25
2022-10-18,2,0.90
2022-10-17,4,1.80
2022-10-14,22,9.91
2022-10-13,16,7.21
2022-10-12,41,18.47
2022-10-11,37,16.67
2022-10-10,36,16.22
2022-10-07,37,16.67
2022-10-06,25,11.26
2022-10-05,16,7.21
2022-10-04,7,3.15
2022-10-03,32,14.41
2022-09-30,117,52.70
2022-09-29,85,38.29
2022-09-28,53,23.87
2022-09-27,130,58.56
2022-09-26,138,62.16
2022-09-23,104,46.85
2022-09-22,60,27.03
2022-09-21,52,23.42
2022-09-20,33,14.86
2022-09-19,21,9.46
2022-09-16,28,12.61
2022-09-15,26,11.71
2022-09-14,18,8.11
2022-09-13,13,5.86
2022-09-12,2,0.90
2022-09-09,3,1.35
2022-09-08,16,7.21
2022-09-07,15,6.76
2022-09-06,41,18.47
2022-09-02,28,12.61
2022-09-01,23,10.36
2022-08-31,26,11.71
2022-08-30,19,8.56
2022-08-29,12,5.41
2022-08-26,9,4.05
2022-08-25,2,0.90
2022-08-24,1,0.45
2022-08-23,2,0.90
2022-08-22,1,0.45
2022-08-19,1,0.45
2022-08-18,1,0.45
2022-08-17,1,0.45
2022-08-16,2,0.90
2022-08-15,2,0.90
2022-08-12,2,0.90
2022-08-11,2,0.90
2022-08-10,2,0.90
2022-08-09,2,0.90
2022-08-08,3,1.35
2022-08-05,2,0.90
2022-08-04,6,2.70
2022-08-03,1,0.45
2022-08-02,1,0.45
2022-08-01,1,0.45
2022-07-29,1,0.45
2022-07-28,2,0.90
2022-07-27,2,0.90
2022-07-26,6,2.70
2022-07-25,4,1.80
2022-07-22,4,1.80
2022-07-21,5,2.25
2022-07-18,2,0.90
2022-07-15,7,3.15
2022-07-14,23,10.36
2022-07-13,8,3.60
2022-07-12,6,2.70
2022-07-11,6,2.70
2022-07-08,6,2.70
2022-07-07,5,2.25
2022-07-06,21,9.46
2022-07-05,17,7.66
2022-07-01,18,8.11
2022-06-30,18,8.11
2022-06-29,11,4.95
2022-06-28,5,2.25
2022-06-27,5,2.25
2022-06-24,10,4.50
2022-06-23,47,21.17
2022-06-22,45,20.27
2022-06-21,47,21.17
2022-06-17,88,39.64
2022-06-16,98,44.14
2022-06-15,43,19.37
2022-06-14,78,35.14
2022-06-13,68,30.63
2022-06-10,15,6.76
2022-06-09,10,4.50
