Date,Stocks,%Universe >= 68
2023-01-10,34,15.32
2023-01-09,18,8.11
2023-01-06,26,11.71
2023-01-05,5,2.25
2023-01-04,5,2.25
2022-12-27,3,1.35
2022-12-21,1,0.45
2022-12-15,5,2.25
2022-12-14,14,6.31
2022-12-13,15,6.76
2022-12-12,14,6.31
2022-12-09,4,1.80
2022-12-08,16,7.21
2022-12-07,16,7.21
2022-12-06,11,4.95
2022-12-05,18,8.11
2022-12-02,43,19.37
2022-12-01,40,18.02
2022-11-30,44,19.82
2022-11-29,16,7.21
2022-11-28,14,6.31
2022-11-25,41,18.47
2022-11-23,36,16.22
2022-11-22,33,14.86
2022-11-21,20,9.01
2022-11-18,21,9.46
2022-11-17,12,5.41
2022-11-16,16,7.21
2022-11-15,34,15.32
2022-11-14,22,9.91
2022-11-11,44,19.82
2022-11-10,34,15.32
2022-11-09,11,4.95
2022-11-08,32,14.41
2022-11-07,32,14.41
2022-11-04,24,10.81
2022-11-03,16,7.21
2022-11-02,15,6.76
2022-11-01,37,16.67
2022-10-31,35,15.77
2022-10-28,47,21.17
2022-10-27,22,9.91
2022-10-26,18,8.11
2022-10-25,9,4.05
2022-10-24,5,2.25
2022-10-21,3,1.35
2022-10-20,1,0.45
2022-10-18,1,0.45
2022-10-17,1,0.45
2022-10-13,1,0.45
2022-09-30,1,0.45
2022-09-27,2,0.90
2022-09-26,2,0.90
2022-09-23,1,0.45
2022-09-22,1,0.45
2022-09-19,1,0.45
2022-09-16,1,0.45
2022-09-15,1,0.45
2022-09-14,2,0.90
2022-09-13,1,0.45
2022-09-12,4,1.80
2022-09-09,3,1.35
2022-09-08,2,0.90
2022-09-07,3,1.35
2022-09-06,1,0.45
2022-09-02,2,0.90
2022-09-01,2,0.90
2022-08-31,2,0.90
2022-08-30,2,0.90
2022-08-29,7,3.15
2022-08-26,5,2.25
2022-08-25,14,6.31
2022-08-24,11,4.95
2022-08-23,9,4.05
2022-08-22,7,3.15
2022-08-19,27,12.16
2022-08-18,48,21.62
2022-08-17,43,19.37
2022-08-16,79,35.59
2022-08-15,65,29.28
2022-08-12,64,28.83
2022-08-11,39,17.57
2022-08-10,41,18.47
2022-08-09,21,9.46
2022-08-08,23,10.36
2022-08-05,24,10.81
2022-08-04,32,14.41
2022-08-03,24,10.81
2022-08-02,11,4.95
2022-08-01,27,12.16
2022-07-29,31,13.96
2022-07-28,18,8.11
2022-07-27,5,2.25
2022-07-26,3,1.35
2022-07-25,2,0.90
2022-07-22,4,1.80
2022-07-21,6,2.70
2022-07-20,3,1.35
2022-07-15,1,0.45
2022-07-13,3,1.35
2022-07-12,2,0.90
2022-07-11,2,0.90
2022-07-08,1,0.45
2022-07-07,2,0.90
2022-07-06,1,0.45
2022-07-05,2,0.90
2022-07-01,1,0.45
2022-06-30,1,0.45
2022-06-29,1,0.45
2022-06-27,1,0.45
2022-06-24,1,0.45
2022-06-23,1,0.45
2022-06-09,2,0.90
2022-06-08,7,3.15
2022-06-07,9,4.05
2022-06-06,2,0.90
2022-06-03,4,1.80
2022-06-01,3,1.35
2022-05-31,1,0.45
2022-05-27,6,2.70
2022-05-26,1,0.45
2022-05-25,2,0.90
2022-05-24,3,1.35
2022-05-23,1,0.45
2022-05-20,1,0.45
2022-05-17,2,0.90
2022-05-16,2,0.90
2022-05-13,1,0.45
2022-05-12,1,0.45
2022-05-09,2,0.90
2022-05-06,3,1.35
2022-05-05,2,0.90
2022-05-04,4,1.80
2022-05-03,2,0.90
2022-04-28,5,2.25
2022-04-27,1,0.45
2022-04-26,2,0.90
2022-04-25,8,3.60
2022-04-22,8,3.60
2022-04-21,35,15.77
2022-04-20,40,18.02
2022-04-19,29,13.06
2022-04-18,16,7.21
2022-04-14,27,12.16
2022-04-13,24,10.81
2022-04-12,23,10.36
2022-04-11,21,9.46
2022-04-08,33,14.86
2022-04-07,27,12.16
2022-04-06,22,9.91
2022-04-05,14,6.31
2022-04-04,16,7.21
2022-04-01,20,9.01
2022-03-31,15,6.76
2022-03-30,25,11.26
2022-03-29,17,7.66
2022-03-28,17,7.66
2022-03-25,24,10.81
2022-03-24,18,8.11
2022-03-23,14,6.31
2022-03-22,14,6.31
2022-03-21,15,6.76
2022-03-18,12,5.41
2022-03-17,10,4.50
2022-03-16,2,0.90
2022-03-15,2,0.90
2022-03-14,4,1.80
2022-03-11,7,3.15
2022-03-10,7,3.15
2022-03-09,5,2.25
2022-03-08,11,4.95
2022-03-07,18,8.11
2022-03-04,21,9.46
2022-03-03,15,6.76
2022-03-02,13,5.86
2022-03-01,7,3.15
2022-02-28,7,3.15
2022-02-25,6,2.70
2022-02-24,1,0.45
2022-02-23,2,0.90
2022-02-22,1,0.45
2022-02-18,3,1.35
2022-02-17,1,0.45
2022-02-16,11,4.95
2022-02-15,7,3.15
2022-02-14,2,0.90
2022-02-11,6,2.70
2022-02-10,14,6.31
2022-02-09,17,7.66
2022-02-08,13,5.86
2022-02-07,14,6.31
2022-02-04,9,4.05
2022-02-03,8,3.60
2022-02-02,16,7.21
2022-02-01,12,5.41
2022-01-31,7,3.15
2022-01-28,7,3.15
2022-01-27,7,3.15
2022-01-26,4,1.80
2022-01-25,5,2.25
2022-01-24,5,2.25
2022-01-21,3,1.35
2022-01-20,8,3.60
2022-01-19,12,5.41
2022-01-18,29,13.06
2022-01-14,54,24.32
2022-01-13,42,18.92
2022-01-12,40,18.02
2022-01-11,44,19.82
2022-01-10,31,13.96
2022-01-07,41,18.47
2022-01-06,25,11.26
2022-01-05,23,10.36
2022-01-04,30,13.51
2022-01-03,15,6.76
2021-12-31,20,9.01
2021-12-30,22,9.91
2021-12-29,25,11.26
2021-12-28,19,8.56
2021-12-27,17,7.66
2021-12-23,11,4.95
2021-12-22,8,3.60
2021-12-21,5,2.25
2021-12-20,7,3.15
2021-12-17,8,3.60
2021-12-16,23,10.36
2021-12-15,17,7.66
2021-12-14,7,3.15
2021-12-13,13,5.86
2021-12-10,16,7.21
2021-12-09,5,2.25
2021-12-08,5,2.25
2021-12-07,7,3.15
2021-12-06,5,2.25
2021-12-03,3,1.35
2021-12-02,3,1.35
2021-12-01,4,1.80
2021-11-30,3,1.35
2021-11-29,8,3.60
2021-11-26,9,4.05
2021-11-24,16,7.21
2021-11-23,18,8.11
2021-11-22,18,8.11
